"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Distance to Transit","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","d4a","TimeFrame","GeoVintage","Source","Location"
"Block Group","170318194004","IL","170318194004","=""170318194004""","540.47","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170318194005","IL","170318194005","=""170318194005""","1189.57","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170318195001","IL","170318195001","=""170318195001""","372.83","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170318195002","IL","170318195002","=""170318195002""","435.86","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170318195003","IL","170318195003","=""170318195003""","218.60","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170318195004","IL","170318195004","=""170318195004""","755.05","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170318196001","IL","170318196001","=""170318196001""","37.55","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170318196002","IL","170318196002","=""170318196002""","0.00","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170318196003","IL","170318196003","=""170318196003""","120.70","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170318196004","IL","170318196004","=""170318196004""","0.00","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170318197001","IL","170318197001","=""170318197001""","654.47","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170318197002","IL","170318197002","=""170318197002""","764.44","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170318197003","IL","170318197003","=""170318197003""","712.13","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170318197004","IL","170318197004","=""170318197004""","966.95","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170318198011","IL","170318198011","=""170318198011""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170318198012","IL","170318198012","=""170318198012""","1040.71","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170318198013","IL","170318198013","=""170318198013""","726.89","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170318198014","IL","170318198014","=""170318198014""","307.12","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170318198015","IL","170318198015","=""170318198015""","993.77","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170318198021","IL","170318198021","=""170318198021""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170318198022","IL","170318198022","=""170318198022""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170318199001","IL","170318199001","=""170318199001""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170318199002","IL","170318199002","=""170318199002""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170318199003","IL","170318199003","=""170318199003""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170318200001","IL","170318200001","=""170318200001""","1109.11","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170318200002","IL","170318200002","=""170318200002""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170318201011","IL","170318201011","=""170318201011""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
