Geography Type Description,Geography Name,Sits in State,GeoID,Formatted GeoID,Median Household Income,Data Time Period,Geographic Vintage,Data Source,Selected Location
GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,mhhinc,TimeFrame,GeoVintage,Source,Location
Census Tract,17031051400,IL,17031051400,17031051400,138250,2017-2021,2020,Census,Illinois (State)
Census Tract,17031060100,IL,17031060100,17031060100,105875,2017-2021,2020,Census,Illinois (State)
Census Tract,17031060200,IL,17031060200,17031060200,83854,2017-2021,2020,Census,Illinois (State)
Census Tract,17031060300,IL,17031060300,17031060300,123750,2017-2021,2020,Census,Illinois (State)
Census Tract,17031060400,IL,17031060400,17031060400,146111,2017-2021,2020,Census,Illinois (State)
Census Tract,17031060500,IL,17031060500,17031060500,52652,2017-2021,2020,Census,Illinois (State)
Census Tract,17031060800,IL,17031060800,17031060800,77436,2017-2021,2020,Census,Illinois (State)
Census Tract,17031060900,IL,17031060900,17031060900,80670,2017-2021,2020,Census,Illinois (State)
Census Tract,17031061000,IL,17031061000,17031061000,111728,2017-2021,2020,Census,Illinois (State)
Census Tract,17031061100,IL,17031061100,17031061100,92750,2017-2021,2020,Census,Illinois (State)
Census Tract,17031061200,IL,17031061200,17031061200,120865,2017-2021,2020,Census,Illinois (State)
Census Tract,17031061500,IL,17031061500,17031061500,126750,2017-2021,2020,Census,Illinois (State)
Census Tract,17031061800,IL,17031061800,17031061800,65238,2017-2021,2020,Census,Illinois (State)
Census Tract,17031061901,IL,17031061901,17031061901,54192,2017-2021,2020,Census,Illinois (State)
Census Tract,17031061902,IL,17031061902,17031061902,79254,2017-2021,2020,Census,Illinois (State)
Census Tract,17031062000,IL,17031062000,17031062000,98828,2017-2021,2020,Census,Illinois (State)
Census Tract,17031062100,IL,17031062100,17031062100,96510,2017-2021,2020,Census,Illinois (State)
Census Tract,17031062200,IL,17031062200,17031062200,165083,2017-2021,2020,Census,Illinois (State)
Census Tract,17031062300,IL,17031062300,17031062300,181250,2017-2021,2020,Census,Illinois (State)
Census Tract,17031062400,IL,17031062400,17031062400,141328,2017-2021,2020,Census,Illinois (State)
Census Tract,17031062500,IL,17031062500,17031062500,157143,2017-2021,2020,Census,Illinois (State)
Census Tract,17031062600,IL,17031062600,17031062600,187857,2017-2021,2020,Census,Illinois (State)
Census Tract,17031062700,IL,17031062700,17031062700,139477,2017-2021,2020,Census,Illinois (State)
Census Tract,17031062800,IL,17031062800,17031062800,154911,2017-2021,2020,Census,Illinois (State)
Census Tract,17031062900,IL,17031062900,17031062900,146341,2017-2021,2020,Census,Illinois (State)
Census Tract,17031063000,IL,17031063000,17031063000,99792,2017-2021,2020,Census,Illinois (State)
Census Tract,17031063100,IL,17031063100,17031063100,96188,2017-2021,2020,Census,Illinois (State)
Census Tract,17031063200,IL,17031063200,17031063200,68710,2017-2021,2020,Census,Illinois (State)
Census Tract,17031063301,IL,17031063301,17031063301,63889,2017-2021,2020,Census,Illinois (State)
Census Tract,17031063302,IL,17031063302,17031063302,84319,2017-2021,2020,Census,Illinois (State)
Census Tract,17031063303,IL,17031063303,17031063303,93625,2017-2021,2020,Census,Illinois (State)
Census Tract,17031063400,IL,17031063400,17031063400,113512,2017-2021,2020,Census,Illinois (State)
Census Tract,17031070101,IL,17031070101,17031070101,81708,2017-2021,2020,Census,Illinois (State)
Census Tract,17031070102,IL,17031070102,17031070102,87912,2017-2021,2020,Census,Illinois (State)
Census Tract,17031070103,IL,17031070103,17031070103,72625,2017-2021,2020,Census,Illinois (State)
Census Tract,17031070200,IL,17031070200,17031070200,103402,2017-2021,2020,Census,Illinois (State)
Census Tract,17031070300,IL,17031070300,17031070300,177351,2017-2021,2020,Census,Illinois (State)
Census Tract,17031070400,IL,17031070400,17031070400,210147,2017-2021,2020,Census,Illinois (State)
Census Tract,17031070500,IL,17031070500,17031070500,144389,2017-2021,2020,Census,Illinois (State)
Census Tract,17031070600,IL,17031070600,17031070600,250001,2017-2021,2020,Census,Illinois (State)
Census Tract,17031070700,IL,17031070700,17031070700,150903,2017-2021,2020,Census,Illinois (State)
Census Tract,17031071000,IL,17031071000,17031071000,203491,2017-2021,2020,Census,Illinois (State)
Census Tract,17031071100,IL,17031071100,17031071100,190380,2017-2021,2020,Census,Illinois (State)
Census Tract,17031071200,IL,17031071200,17031071200,132000,2017-2021,2020,Census,Illinois (State)
