"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Distance to Transit","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","d4a","TimeFrame","GeoVintage","Source","Location"
"Block Group","060830029281","CA","060830029281","=""060830029281""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830029282","CA","060830029282","=""060830029282""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830029301","CA","060830029301","=""060830029301""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830029302","CA","060830029302","=""060830029302""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830029303","CA","060830029303","=""060830029303""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830029304","CA","060830029304","=""060830029304""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830029305","CA","060830029305","=""060830029305""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830029306","CA","060830029306","=""060830029306""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830029321","CA","060830029321","=""060830029321""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830029322","CA","060830029322","=""060830029322""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830030011","CA","060830030011","=""060830030011""","387.58","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830030012","CA","060830030012","=""060830030012""","645.08","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830030013","CA","060830030013","=""060830030013""","840.88","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830030014","CA","060830030014","=""060830030014""","505.60","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830030015","CA","060830030015","=""060830030015""","409.04","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830030041","CA","060830030041","=""060830030041""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830030042","CA","060830030042","=""060830030042""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830030043","CA","060830030043","=""060830030043""","894.53","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830030051","CA","060830030051","=""060830030051""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830030052","CA","060830030052","=""060830030052""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830030053","CA","060830030053","=""060830030053""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830030071","CA","060830030071","=""060830030071""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830030072","CA","060830030072","=""060830030072""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830030073","CA","060830030073","=""060830030073""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830031021","CA","060830031021","=""060830031021""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830031022","CA","060830031022","=""060830031022""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060830031023","CA","060830031023","=""060830031023""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060839800001","CA","060839800001","=""060839800001""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060839801001","CA","060839801001","=""060839801001""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060839900000","CA","060839900000","=""060839900000""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060855001001","CA","060855001001","=""060855001001""","751.03","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060855001002","CA","060855001002","=""060855001002""","421.11","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060855001003","CA","060855001003","=""060855001003""","466.71","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060855001004","CA","060855001004","=""060855001004""","382.22","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060855002001","CA","060855002001","=""060855002001""","374.17","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060855002002","CA","060855002002","=""060855002002""","352.71","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060855002003","CA","060855002003","=""060855002003""","264.20","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060855002004","CA","060855002004","=""060855002004""","517.67","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060855003001","CA","060855003001","=""060855003001""","390.27","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060855003002","CA","060855003002","=""060855003002""","362.10","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060855004001","CA","060855004001","=""060855004001""","489.51","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060855004002","CA","060855004002","=""060855004002""","394.29","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060855005001","CA","060855005001","=""060855005001""","418.43","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060855005002","CA","060855005002","=""060855005002""","303.09","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060855005003","CA","060855005003","=""060855005003""","486.83","2021","2010","EPA Smart Location Database","California (State)"
