TRACTID,Pop2010,TractBlack,TractHispanic,TractWhite,TractKids,TractSeniors,One_mile,Half_mile,shr_Black,shr_White,shr_Hispanic,shr_Kids,shr_Seniors,minc,hhd_exp,pct_SNAP,transit_dist,transit_freq,avg_vehicle,City
48201241101,4542,612.0,1370.0,3169.0,1379.0,257.0,472.089559677988,1116.74965854362,0.13474240422721268,0.697710259797446,0.301629238221048,0.3036107441655658,0.05658300308234258,75083.0,63400.0,13.0,,,2.3,Houston
48201241103,4298,1243.0,1284.0,2273.0,1421.0,172.0,361.333661526442,1198.18096658587,0.2892042810609586,0.5288506281991624,0.29874360167519776,0.3306188925081433,0.04001861330851559,59556.0,52800.0,19.6,,,1.7,Houston
48201241400,7931,885.0,1827.0,5916.0,2195.0,545.0,956.087534001708,2183.69895963013,0.11158744168452907,0.745933677972513,0.23036187113857018,0.27676207287857774,0.06871769007691338,89160.0,69500.0,0.91,,,2.1,Houston
48201250500,5510,1292.0,1213.0,3429.0,1720.0,306.0,2.44592690467834,265.186282992363,0.23448275862068965,0.6223230490018149,0.22014519056261342,0.3121597096188748,0.055535390199637026,73462.0,65000.0,4.88,,,1.9,Houston
48201250701,5373,774.0,1344.0,3944.0,1531.0,387.0,,,0.1440536013400335,0.7340405732365531,0.2501395868230039,0.2849432346919784,0.07202680067001675,100868.0,74600.0,5.54,,1.08,2.0,Houston
48201250702,4563,475.0,720.0,3739.0,1296.0,378.0,,341.338658688212,0.10409818102125794,0.819417050186281,0.15779092702169625,0.28402366863905326,0.08284023668639054,103403.0,82500.0,4.25,,,2.2,Houston
48201251000,2774,160.0,327.0,2257.0,521.0,406.0,66.8867667953309,396.703296389693,0.05767844268204758,0.8136265320836338,0.11788031723143474,0.18781542898341744,0.14635904830569574,101746.0,81600.0,3.34,,,1.9,Houston
48201251100,7400,324.0,1095.0,6510.0,1688.0,1303.0,495.245099635998,1330.39045401497,0.04378378378378378,0.8797297297297297,0.14797297297297296,0.2281081081081081,0.1760810810810811,90010.0,72700.0,3.73,,,2.0,Houston
48201251200,5584,226.0,821.0,4895.0,1425.0,705.0,39.5941317230463,1158.6035439031,0.04047277936962751,0.8766117478510028,0.1470272206303725,0.25519340974212035,0.12625358166189113,74827.0,64500.0,7.21,,,2.0,Houston
48201251300,7159,148.0,773.0,6549.0,1830.0,1063.0,29.7903896920334,449.482678991016,0.02067327839083671,0.9147925687945244,0.10797597429808632,0.25562229361642685,0.14848442519905014,111397.0,76100.0,2.15,,24.75,2.1,Houston
48201251401,2446,84.0,385.0,2151.0,785.0,139.0,,293.376170501113,0.03434178250204415,0.8793949304987735,0.15739983646770236,0.3209321340964841,0.05682747342600163,123333.0,84800.0,4.71,,,2.3,Houston
48201251402,5924,180.0,943.0,5271.0,1629.0,490.0,,1145.16453132685,0.03038487508440243,0.8897704253882511,0.15918298446995274,0.274983119513842,0.08271438217420661,51300.0,59600.0,15.71,,,1.7,Houston
48201251501,4807,132.0,560.0,4086.0,1777.0,217.0,321.123443501419,391.931864776067,0.02745995423340961,0.8500104014978157,0.11649677553567714,0.3696692323694612,0.04514250052007489,146250.0,97500.0,0.46,,,,Houston
48201251503,2264,40.0,269.0,2032.0,715.0,166.0,,66.4118731599301,0.0176678445229682,0.8975265017667845,0.11881625441696113,0.31581272084805656,0.07332155477031801,133750.0,87700.0,4.23,,,2.2,Houston
48201251600,5750,146.0,595.0,5208.0,1525.0,485.0,,,0.025391304347826087,0.9057391304347826,0.10347826086956521,0.26521739130434785,0.08434782608695653,92734.0,72000.0,18.17,,,2.3,Houston
48201251902,4778,567.0,670.0,3886.0,1249.0,533.0,167.636100909178,393.599280748541,0.11866889912097112,0.8133110087902888,0.14022603599832567,0.2614064462118041,0.1115529510255337,113875.0,79200.0,7.61,,,2.4,Houston
48201252100,1720,133.0,553.0,1337.0,435.0,134.0,802.463445601828,802.463445601828,0.07732558139534884,0.7773255813953488,0.32151162790697674,0.25290697674418605,0.07790697674418605,57171.0,58700.0,18.8,,,2.2,Houston
48201252400,6976,217.0,4095.0,4695.0,2205.0,612.0,0.222804799675941,1574.76624927984,0.03110665137614679,0.6730217889908257,0.5870126146788991,0.31608371559633025,0.08772935779816514,69159.0,57600.0,17.47,,,2.1,Houston
48201252500,4325,73.0,2845.0,2838.0,1417.0,285.0,301.548027066689,1623.03322418284,0.016878612716763004,0.6561849710982659,0.6578034682080924,0.3276300578034682,0.06589595375722543,48616.0,54800.0,20.18,,0.21,1.9,Houston
48201253300,3428,189.0,798.0,2901.0,785.0,501.0,331.121595521173,331.121595521173,0.05513418903150525,0.8462660443407235,0.23278879813302217,0.22899649941656944,0.14614935822637107,90000.0,69500.0,6.67,,,2.2,Houston
48201254600,4067,510.0,2912.0,2450.0,1247.0,374.0,1511.52815914956,1719.72405052987,0.12539955741332678,0.6024096385542169,0.7160068846815835,0.3066142119498402,0.09195967543643964,57530.0,60200.0,17.47,,,1.9,Houston
48201310200,1463,432.0,331.0,732.0,164.0,74.0,,129.358936087694,0.2952836637047163,0.5003417634996582,0.22624743677375256,0.11209842788790157,0.050580997949419004,125125.0,83400.0,5.08,210.56,37.0,1.7,Houston
48201310300,4774,223.0,3566.0,2835.0,1047.0,426.0,18.8713669776917,1050.12044621445,0.04671135316296607,0.593841642228739,0.7469627147046501,0.21931294511939672,0.08923334729786343,41281.0,49700.0,8.25,291.245,190.87666666666667,1.4,Houston
48201310400,4084,85.0,3789.0,2700.0,1088.0,509.0,890.628312164918,2254.87990276609,0.02081292850146915,0.6611165523996082,0.9277668952007836,0.2664054848188051,0.12463271302644466,43077.0,48300.0,25.97,351.82,45.160000000000004,1.4,Houston
48201310500,4856,206.0,4396.0,3252.0,1407.0,411.0,258.020304784179,2594.96944941208,0.04242174629324547,0.6696869851729819,0.9052718286655683,0.28974464579901155,0.08463756177924217,45912.0,51200.0,27.95,205.63666666666666,25.179999999999996,1.3,Houston
48201310600,6025,169.0,5375.0,3772.0,1658.0,469.0,683.774598918855,2911.24704601895,0.028049792531120332,0.6260580912863071,0.8921161825726142,0.27518672199170124,0.07784232365145229,29237.0,47900.0,20.32,384.36400000000003,165.704,1.3,Houston
48201310700,4167,75.0,3454.0,2670.0,1166.0,328.0,0.0,1128.20227090642,0.017998560115190784,0.640748740100792,0.8288936885049196,0.2798176145908327,0.0787137029037677,34986.0,58400.0,16.8,400.995,23.29,1.7,Houston
48201310800,2490,54.0,2309.0,1546.0,843.0,170.0,,217.520487759262,0.021686746987951807,0.6208835341365462,0.9273092369477912,0.3385542168674699,0.06827309236947791,49464.0,55700.0,13.36,513.65,57.64,1.6,Houston
48201310900,5770,122.0,5492.0,3571.0,1744.0,509.0,,247.894970566034,0.021143847487001734,0.6188908145580589,0.9518197573656846,0.3022530329289428,0.08821490467937608,36242.0,49100.0,14.21,284.856,144.722,1.6,Houston
48201311100,5886,60.0,5692.0,3990.0,1752.0,611.0,102.684309341013,3522.8754285876,0.010193679918450561,0.6778797145769623,0.9670404349303432,0.2976554536187564,0.10380564050288821,38774.0,48700.0,11.34,335.95,34.677499999999995,1.6,Houston
48201311200,4908,86.0,4530.0,3306.0,1420.0,433.0,,218.92207394354,0.01752241238793806,0.6735941320293398,0.9229828850855746,0.2893235533822331,0.08822330888345559,53802.0,49900.0,29.75,333.94,7.323333333333333,1.6,Houston
48201311300,5242,76.0,4929.0,3525.0,1627.0,458.0,,793.994398434588,0.014498283098054178,0.672453262113697,0.9402899656619611,0.3103777184280809,0.08737123235406334,54107.0,58300.0,13.64,540.92,20.24,2.2,Houston
48201311400,1496,179.0,1275.0,709.0,470.0,132.0,34.2867803573608,377.321785608307,0.1196524064171123,0.47393048128342247,0.8522727272727273,0.3141711229946524,0.08823529411764706,40417.0,47800.0,27.72,148.86,5.53,1.7,Houston
48201311600,4103,213.0,3797.0,2616.0,1412.0,70.0,,,0.05191323421886425,0.637582256885206,0.9254204240799415,0.3441384352912503,0.017060687301974166,31684.0,42500.0,28.56,319.6333333333333,88.11,1.2,Houston
48201311800,4542,64.0,4270.0,2656.0,1473.0,253.0,,19.8748952671885,0.014090708938793483,0.5847644209599295,0.9401144870101277,0.3243064729194188,0.05570233377366799,41358.0,49700.0,10.17,707.44,43.72666666666667,1.9,Houston
48201311900,2448,65.0,2198.0,1311.0,741.0,204.0,3.08031184971333,331.851157911588,0.026552287581699346,0.5355392156862745,0.8978758169934641,0.30269607843137253,0.08333333333333333,52109.0,56600.0,18.01,508.955,67.415,1.9,Houston
48201312000,4089,1677.0,399.0,1587.0,198.0,327.0,537.730958234519,560.619239043444,0.4101247248716067,0.38811445341159206,0.09757887013939838,0.04842259721203228,0.07997065297138664,54980.0,68500.0,2.89,369.48,108.105,1.7,Houston
48201312200,2058,1610.0,403.0,175.0,521.0,250.0,334.158677041531,1426.38809718518,0.782312925170068,0.08503401360544217,0.195821185617104,0.2531584062196307,0.12147716229348883,18967.0,40900.0,63.07,133.66333333333333,136.32666666666668,0.8,Houston
48201312300,1962,1390.0,384.0,324.0,409.0,263.0,459.727008486974,1135.43700119276,0.7084607543323139,0.1651376146788991,0.19571865443425077,0.20846075433231395,0.13404689092762487,49773.0,56600.0,39.66,134.785,40.34,1.1,Houston
48201312400,2208,1811.0,282.0,182.0,510.0,288.0,996.025498246541,1579.81407316192,0.8201992753623188,0.08242753623188406,0.12771739130434784,0.23097826086956522,0.13043478260869565,18971.0,41700.0,48.24,55.879999999999995,70.85333333333334,0.8,Houston
48201312700,1955,1704.0,136.0,122.0,359.0,243.0,202.000810023397,882.76103929503,0.871611253196931,0.06240409207161125,0.06956521739130435,0.18363171355498722,0.12429667519181585,73148.0,64000.0,14.5,182.84,90.52333333333333,1.4,Houston
48201312800,2332,2167.0,146.0,80.0,538.0,132.0,1871.26580792386,1871.26580792386,0.9292452830188679,0.03430531732418525,0.06260720411663807,0.2307032590051458,0.05660377358490566,13750.0,39700.0,66.56,244.755,84.285,0.8,Houston
48201313000,2349,1937.0,161.0,237.0,439.0,263.0,639.894783899188,875.098571944982,0.8246062154108131,0.10089399744572158,0.06853980417198809,0.1868880374627501,0.11196253724989357,47356.0,58200.0,25.23,218.15666666666664,75.22333333333334,1.4,Houston
