"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Median Household Income","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","mhhinc","TimeFrame","GeoVintage","Source","Location"
"Census Tract","06077001501","CA","06077001501","=""06077001501""","83036","2017-2021","2020","Census","California (State)"
"Census Tract","06077001502","CA","06077001502","=""06077001502""","42024","2017-2021","2020","Census","California (State)"
"Census Tract","06077001600","CA","06077001600","=""06077001600""","51599","2017-2021","2020","Census","California (State)"
"Census Tract","06077001700","CA","06077001700","=""06077001700""","48673","2017-2021","2020","Census","California (State)"
"Census Tract","06077001800","CA","06077001800","=""06077001800""","57608","2017-2021","2020","Census","California (State)"
"Census Tract","06077001900","CA","06077001900","=""06077001900""","50000","2017-2021","2020","Census","California (State)"
"Census Tract","06077002000","CA","06077002000","=""06077002000""","38537","2017-2021","2020","Census","California (State)"
"Census Tract","06077002100","CA","06077002100","=""06077002100""","43594","2017-2021","2020","Census","California (State)"
"Census Tract","06077002201","CA","06077002201","=""06077002201""","31071","2017-2021","2020","Census","California (State)"
"Census Tract","06077002202","CA","06077002202","=""06077002202""","40152","2017-2021","2020","Census","California (State)"
"Census Tract","06077002300","CA","06077002300","=""06077002300""","50616","2017-2021","2020","Census","California (State)"
"Census Tract","06077002401","CA","06077002401","=""06077002401""","45278","2017-2021","2020","Census","California (State)"
"Census Tract","06077002402","CA","06077002402","=""06077002402""","50104","2017-2021","2020","Census","California (State)"
"Census Tract","06077002503","CA","06077002503","=""06077002503""","42604","2017-2021","2020","Census","California (State)"
"Census Tract","06077002504","CA","06077002504","=""06077002504""","82245","2017-2021","2020","Census","California (State)"
"Census Tract","06077002701","CA","06077002701","=""06077002701""","49053","2017-2021","2020","Census","California (State)"
"Census Tract","06077002702","CA","06077002702","=""06077002702""","48914","2017-2021","2020","Census","California (State)"
"Census Tract","06077002800","CA","06077002800","=""06077002800""","56230","2017-2021","2020","Census","California (State)"
"Census Tract","06077003106","CA","06077003106","=""06077003106""","72500","2017-2021","2020","Census","California (State)"
"Census Tract","06077003108","CA","06077003108","=""06077003108""","70451","2017-2021","2020","Census","California (State)"
"Census Tract","06077003109","CA","06077003109","=""06077003109""","78226","2017-2021","2020","Census","California (State)"
"Census Tract","06077003110","CA","06077003110","=""06077003110""","54533","2017-2021","2020","Census","California (State)"
