"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Amount Spent per Household on All Household Expenses","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","total_avg","TimeFrame","GeoVintage","Source","Location"
"Census Tract","06061020106","CA","06061020106","=""06061020106""","66700","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061020107","CA","06061020107","=""06061020107""","54800","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061020200","CA","06061020200","=""06061020200""","70600","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061020300","CA","06061020300","=""06061020300""","50900","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061020401","CA","06061020401","=""06061020401""","56100","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061020402","CA","06061020402","=""06061020402""","73700","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061020501","CA","06061020501","=""06061020501""","80100","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061020502","CA","06061020502","=""06061020502""","82800","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061020601","CA","06061020601","=""06061020601""","94600","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061020604","CA","06061020604","=""06061020604""","87100","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061020605","CA","06061020605","=""06061020605""","93400","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061020606","CA","06061020606","=""06061020606""","105700","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061020607","CA","06061020607","=""06061020607""","90000","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061020608","CA","06061020608","=""06061020608""","99600","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061020710","CA","06061020710","=""06061020710""","83100","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061020711","CA","06061020711","=""06061020711""","69800","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061020712","CA","06061020712","=""06061020712""","56300","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061020713","CA","06061020713","=""06061020713""","59000","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061020714","CA","06061020714","=""06061020714""","73100","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061020715","CA","06061020715","=""06061020715""","68600","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061020717","CA","06061020717","=""06061020717""","85400","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061020805","CA","06061020805","=""06061020805""","66300","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061020806","CA","06061020806","=""06061020806""","61700","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061020901","CA","06061020901","=""06061020901""","52600","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061020908","CA","06061020908","=""06061020908""","64700","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061021003","CA","06061021003","=""06061021003""","73900","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061021034","CA","06061021034","=""06061021034""","91000","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061021037","CA","06061021037","=""06061021037""","65800","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061021038","CA","06061021038","=""06061021038""","82300","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061021039","CA","06061021039","=""06061021039""","60400","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061021040","CA","06061021040","=""06061021040""","60000","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061021043","CA","06061021043","=""06061021043""","80800","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061021044","CA","06061021044","=""06061021044""","91500","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061021045","CA","06061021045","=""06061021045""","62800","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061021046","CA","06061021046","=""06061021046""","58000","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061021047","CA","06061021047","=""06061021047""","80200","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061021048","CA","06061021048","=""06061021048""","94700","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061021103","CA","06061021103","=""06061021103""","62900","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061021106","CA","06061021106","=""06061021106""","78500","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061021108","CA","06061021108","=""06061021108""","59100","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061021109","CA","06061021109","=""06061021109""","84400","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061021122","CA","06061021122","=""06061021122""","82200","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061021123","CA","06061021123","=""06061021123""","84900","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061021128","CA","06061021128","=""06061021128""","73900","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061021129","CA","06061021129","=""06061021129""","62700","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061021130","CA","06061021130","=""06061021130""","68000","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061021131","CA","06061021131","=""06061021131""","65600","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061021203","CA","06061021203","=""06061021203""","67600","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061021204","CA","06061021204","=""06061021204""","79600","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061021304","CA","06061021304","=""06061021304""","75500","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061021323","CA","06061021323","=""06061021323""","90900","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061021324","CA","06061021324","=""06061021324""","97600","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061021325","CA","06061021325","=""06061021325""","81500","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061021326","CA","06061021326","=""06061021326""","101300","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061021327","CA","06061021327","=""06061021327""","82500","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06061021328","CA","06061021328","=""06061021328""","99100","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
