"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Jobs within a 45-Minute Transit Commute","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","d5br","TimeFrame","GeoVintage","Source","Location"
"Block Group","060590631023","CA","060590631023","=""060590631023""","87305","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590631024","CA","060590631024","=""060590631024""","34790","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590631031","CA","060590631031","=""060590631031""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590631032","CA","060590631032","=""060590631032""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590632011","CA","060590632011","=""060590632011""","130655","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590632012","CA","060590632012","=""060590632012""","137456","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590632013","CA","060590632013","=""060590632013""","91366","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590632021","CA","060590632021","=""060590632021""","92737","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590632022","CA","060590632022","=""060590632022""","92551","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590632023","CA","060590632023","=""060590632023""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590632024","CA","060590632024","=""060590632024""","94562","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590633011","CA","060590633011","=""060590633011""","114881","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590633012","CA","060590633012","=""060590633012""","102025","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590633013","CA","060590633013","=""060590633013""","104483","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590633021","CA","060590633021","=""060590633021""","52835","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590633022","CA","060590633022","=""060590633022""","45856","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590633023","CA","060590633023","=""060590633023""","53988","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590633024","CA","060590633024","=""060590633024""","45436","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590634001","CA","060590634001","=""060590634001""","51697","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590634002","CA","060590634002","=""060590634002""","51862","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590634003","CA","060590634003","=""060590634003""","57228","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590634004","CA","060590634004","=""060590634004""","96017","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590634005","CA","060590634005","=""060590634005""","92454","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590635001","CA","060590635001","=""060590635001""","55748","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590635002","CA","060590635002","=""060590635002""","64421","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590635003","CA","060590635003","=""060590635003""","65075","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590635004","CA","060590635004","=""060590635004""","56307","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590635005","CA","060590635005","=""060590635005""","86003","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590635006","CA","060590635006","=""060590635006""","55163","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590636011","CA","060590636011","=""060590636011""","40170","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590636012","CA","060590636012","=""060590636012""","83965","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590636013","CA","060590636013","=""060590636013""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590636031","CA","060590636031","=""060590636031""","51917","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590636032","CA","060590636032","=""060590636032""","29019","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590636033","CA","060590636033","=""060590636033""","110668","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590636034","CA","060590636034","=""060590636034""","86728","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590636041","CA","060590636041","=""060590636041""","87070","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590636042","CA","060590636042","=""060590636042""","86967","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590636051","CA","060590636051","=""060590636051""","148035","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590636052","CA","060590636052","=""060590636052""","103078","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590636053","CA","060590636053","=""060590636053""","109205","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590637011","CA","060590637011","=""060590637011""","87311","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590637012","CA","060590637012","=""060590637012""","86907","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590637013","CA","060590637013","=""060590637013""","87205","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590637014","CA","060590637014","=""060590637014""","95896","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590637021","CA","060590637021","=""060590637021""","142908","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590637022","CA","060590637022","=""060590637022""","98250","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590637023","CA","060590637023","=""060590637023""","92616","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590637024","CA","060590637024","=""060590637024""","95409","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590637025","CA","060590637025","=""060590637025""","95505","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590638021","CA","060590638021","=""060590638021""","65138","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590638022","CA","060590638022","=""060590638022""","17298","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590638031","CA","060590638031","=""060590638031""","4129","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590638032","CA","060590638032","=""060590638032""","74699","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590638033","CA","060590638033","=""060590638033""","74652","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590638034","CA","060590638034","=""060590638034""","79622","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590638051","CA","060590638051","=""060590638051""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590638052","CA","060590638052","=""060590638052""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590638061","CA","060590638061","=""060590638061""","64897","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590638062","CA","060590638062","=""060590638062""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590638063","CA","060590638063","=""060590638063""","16496","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590638071","CA","060590638071","=""060590638071""","53790","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590638072","CA","060590638072","=""060590638072""","65069","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590638081","CA","060590638081","=""060590638081""","91219","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590638082","CA","060590638082","=""060590638082""","86991","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590639021","CA","060590639021","=""060590639021""","197171","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590639022","CA","060590639022","=""060590639022""","65015","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590639023","CA","060590639023","=""060590639023""","203290","2021","2010","EPA Smart Location Database","California (State)"
